seed,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2034,E7_ml_aura_ml_tsra_r,2.0,0.5,0.125,0.06223479490806223,9.5,3.0,0.16320073078736444,355.0,12.0,83.0,5.0,31.0
2035,E1_baseline,2.0999999999999943,0.5,0.5,0.3374384236453202,32.099999999999994,0.0,0.45771921182266007,329.0,3.0,79.0,0.0,0.0
2035,E2_fixed_attack,46.0,0.5,0.5,0.6094069529652352,76.0,0.0,0.7816666666666666,338.0,5.0,86.0,1.0,0.0
2035,E3_rule_aura,163.79999999999998,0.5,0.5,0.8324742268041238,193.79999999999998,0.0,0.9500000000000001,141.0,3.0,32.0,5.0,0.0
2035,E4_rule_aura_basic_defense,3.0,0.5,0.125,0.04639175257731959,10.5,0.0,0.11194587628865979,326.0,10.0,74.0,5.0,23.0
2035,E5_rule_aura_tsra_r,1.0,0.5,0.125,0.006180469715698393,8.5,3.0,0.12850690152451585,380.0,6.0,79.0,5.0,27.0
2035,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.006345177664974619,9.5,3.0,0.13525592216582064,370.0,8.0,82.0,5.0,26.0
2035,E7_ml_aura_ml_tsra_r,5.099999999999994,0.5,0.125,0.049723756906077346,12.599999999999994,3.0,0.1776118784530386,360.0,8.0,80.0,5.0,30.0
2036,E1_baseline,2.3499999999999943,0.5,0.5,0.33004926108374383,32.349999999999994,0.0,0.4556912972085385,324.0,1.0,74.0,0.0,0.0
2036,E2_fixed_attack,35.39999999999999,0.5,0.5,0.5415778251599147,65.39999999999999,0.0,0.7109999999999999,322.0,4.0,73.0,1.0,0.0
2036,E3_rule_aura,117.0,0.75,0.75,0.8354430379746836,162.0,0.0,0.935,137.0,3.0,28.0,5.0,0.0
2036,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.13485113835376533,9.5,0.0,0.14950890251021598,319.0,1.0,72.0,5.0,23.0
2036,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.004026845637583893,9.5,3.0,0.1340967561521253,351.0,8.0,67.0,5.0,27.0
2036,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.014285714285714285,9.5,3.0,0.13922619047619048,342.0,6.0,69.0,5.0,26.0
2036,E7_ml_aura_ml_tsra_r,7.599999999999966,0.5,0.125,0.058997050147492625,15.099999999999966,3.0,0.19891519174041278,345.0,5.0,83.0,5.0,34.0
2037,E1_baseline,3.0,0.5,0.5,0.35764705882352943,33.0,0.0,0.47382352941176475,345.0,1.0,88.0,0.0,0.0
2037,E2_fixed_attack,25.700000000000003,0.5,0.5,0.5893909626719057,55.7,0.0,0.6463333333333333,356.0,7.0,87.0,1.0,0.0
2037,E3_rule_aura,128.65,0.5,0.5,0.8480176211453745,158.65,0.0,0.9322083333333333,200.0,8.0,48.0,5.0,0.0
2037,E4_rule_aura_basic_defense,2.0,0.5,0.125,0.11130742049469965,9.5,0.0,0.13773704358068314,316.0,7.0,78.0,5.0,23.0
2037,E5_rule_aura_tsra_r,2.0,0.5,0.125,0.08739255014326648,9.5,3.0,0.17577960840496654,375.0,8.0,91.0,5.0,23.0
2037,E6_ml_aura_tsra_r,2.0,0.5,0.125,0.08390646492434663,9.5,3.0,0.17403656579550664,365.0,8.0,83.0,5.0,25.0
