seed,condition,disabled_action,experiment,p95_critical_latency_sec,stale_data_ratio,trusted_stale_exposure,priority_inversion_rate,kill_chain_delay_sec,recovery_instability,mission_impact,delivered_count,dropped_count,critical_delivered_count,attack_count,defense_count
2037,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.013647642679900745,9.5,2.0,0.12224048800661702,357.0,11.0,82.0,5.0,19.0
2037,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.0959119496855346,32.0,3.0,0.38628930817610063,358.0,9.0,79.0,5.0,15.0
2037,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.11130742049469965,9.5,0.0,0.13773704358068314,316.0,7.0,78.0,5.0,23.0
2038,full,none,tsra_ablation_full,2.0,0.5,0.125,0.029459901800327332,9.5,2.0,0.13014661756683032,366.0,7.0,97.0,5.0,23.0
2038,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,4.0,0.5,0.125,0.5007949125596184,11.5,3.0,0.34541666666666665,344.0,8.0,81.0,5.0,18.0
2038,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.02608695652173913,9.5,1.0,0.11179347826086956,367.0,6.0,92.0,5.0,16.0
2038,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.029459901800327332,32.0,2.0,0.3363966175668303,366.0,7.0,97.0,5.0,15.0
2038,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.057724957555178265,9.5,0.0,0.11094581211092246,338.0,8.0,83.0,5.0,23.0
2039,full,none,tsra_ablation_full,2.0,0.5,0.125,0.05048543689320388,9.5,2.0,0.1406593851132686,327.0,3.0,77.0,5.0,22.0
2039,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,4.75,0.5,0.125,0.659270998415214,12.25,3.0,0.35041666666666665,345.0,8.0,86.0,5.0,18.0
2039,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.3999999999999915,0.5,0.125,0.04626865671641791,9.899999999999991,1.0,0.12455099502487556,338.0,6.0,73.0,5.0,15.0
2039,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.05048543689320388,32.0,2.0,0.3469093851132686,327.0,3.0,77.0,5.0,14.0
2039,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,4.0,0.5,0.125,0.03590664272890485,11.5,0.0,0.11336998803111908,328.0,15.0,85.0,5.0,20.0
2040,full,none,tsra_ablation_full,2.0,0.5,0.125,0.011146496815286623,9.5,2.0,0.12098991507430998,360.0,6.0,86.0,5.0,24.0
2040,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.5,0.125,0.46192052980132453,9.5,3.0,0.33208333333333334,342.0,7.0,75.0,5.0,18.0
2040,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0,0.5,0.125,0.010057471264367816,8.5,1.0,0.09711206896551723,352.0,2.0,76.0,5.0,18.0
2040,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.011146496815286623,32.0,2.0,0.32723991507431,360.0,6.0,86.0,5.0,16.0
2040,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.01174496644295302,9.5,0.0,0.08795581655480984,339.0,3.0,81.0,5.0,22.0
2041,full,none,tsra_ablation_full,2.0,0.5,0.125,0.06210191082802548,9.5,2.0,0.1464676220806794,347.0,11.0,68.0,5.0,23.0
2041,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,3.0,0.5,0.125,0.514637904468413,10.5,3.0,0.33875,342.0,4.0,73.0,5.0,18.0
2041,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.03015075376884422,9.5,2.0,0.13049204355108876,350.0,7.0,67.0,5.0,17.0
2041,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.06210191082802548,32.0,2.0,0.3527176220806794,347.0,11.0,68.0,5.0,14.0
2041,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.05326460481099656,9.5,0.0,0.10871563573883161,331.0,2.0,73.0,5.0,23.0
2042,full,none,tsra_ablation_full,2.0,0.5,0.125,0.047244094488188976,9.5,2.0,0.13903871391076114,329.0,8.0,60.0,5.0,23.0
2042,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.6499999999999986,0.5,0.125,0.4730639730639731,10.149999999999999,3.0,0.33641666666666664,315.0,11.0,68.0,5.0,17.0
2042,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0,0.5,0.125,0.02710843373493976,8.5,1.0,0.1056375502008032,333.0,5.0,72.0,5.0,16.0
2042,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.047244094488188976,32.0,2.0,0.34528871391076116,329.0,8.0,60.0,5.0,14.0
2042,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.044169611307420496,9.5,0.0,0.10416813898704358,310.0,7.0,68.0,5.0,20.0
2043,full,none,tsra_ablation_full,2.0,0.5,0.125,0.0630048465266559,9.5,2.0,0.1469190899299946,356.0,10.0,69.0,5.0,23.0
2043,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.5,0.125,0.45622119815668205,9.5,3.0,0.33208333333333334,389.0,8.0,81.0,5.0,18.0
2043,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.043478260869565216,9.5,2.0,0.13715579710144926,344.0,9.0,63.0,5.0,19.0
2043,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.0630048465266559,32.0,2.0,0.35316908992999463,356.0,10.0,69.0,5.0,14.0
2043,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.0587248322147651,9.5,0.0,0.11144574944071588,342.0,8.0,73.0,5.0,24.0
2044,full,none,tsra_ablation_full,2.0,0.5,0.125,0.06231003039513678,9.5,3.0,0.16323834853090172,345.0,7.0,81.0,5.0,25.0
2044,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,3.0,0.5,0.125,0.4791044776119403,10.5,3.0,0.33875,335.0,14.0,73.0,5.0,17.0
2044,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.04526166902404526,9.5,2.0,0.1380475011786893,344.0,9.0,85.0,5.0,15.0
2044,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.06231003039513678,32.0,3.0,0.36948834853090173,345.0,7.0,81.0,5.0,17.0
2044,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.07105719237435008,9.5,0.0,0.11761192952050838,307.0,7.0,71.0,5.0,22.0
2045,full,none,tsra_ablation_full,1.0,0.5,0.125,0.017518248175182483,8.5,1.0,0.10084245742092457,362.0,11.0,83.0,5.0,24.0
2045,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.5,0.125,0.5007363770250368,9.5,3.0,0.33208333333333334,369.0,13.0,82.0,5.0,19.0
2045,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,1.0,0.5,0.125,0.017316017316017316,8.5,1.0,0.10074134199134198,352.0,6.0,76.0,5.0,17.0
2045,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,1.0,0.5,0.5,0.017518248175182483,31.0,1.0,0.30709245742092456,362.0,11.0,83.0,5.0,15.0
2045,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.020100502512562814,9.5,0.0,0.09213358458961474,334.0,6.0,81.0,5.0,21.0
2046,full,none,tsra_ablation_full,2.0,0.5,0.125,0.06743421052631579,9.5,2.0,0.14913377192982455,354.0,4.0,83.0,5.0,22.0
2046,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,4.849999999999994,0.5,0.125,0.4546925566343042,12.349999999999994,3.0,0.3510833333333333,344.0,8.0,64.0,5.0,18.0
2046,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.030257186081694403,9.5,1.0,0.1138785930408472,335.0,5.0,69.0,5.0,16.0
2046,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,2.0,0.5,0.5,0.06743421052631579,32.0,2.0,0.35538377192982457,354.0,4.0,83.0,5.0,14.0
2046,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.03436426116838488,9.5,0.0,0.09926546391752576,329.0,2.0,70.0,5.0,22.0
2047,full,none,tsra_ablation_full,1.0,0.5,0.125,0.10101010101010101,8.5,3.0,0.17592171717171717,347.0,4.0,69.0,5.0,24.0
2047,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,3.0,0.5,0.125,0.36260162601626017,10.5,3.0,0.32005081300813004,343.0,10.0,70.0,5.0,16.0
2047,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.06315789473684211,9.5,3.0,0.16366228070175437,339.0,13.0,71.0,5.0,19.0
2047,no_stale_badge,stale_badge,tsra_ablation_no_stale_badge,1.0,0.5,0.5,0.10101010101010101,31.0,3.0,0.38217171717171716,347.0,4.0,69.0,5.0,15.0
2047,no_pace_switch,pace_switch,tsra_ablation_no_pace_switch,2.0,0.5,0.125,0.06303236797274275,9.5,0.0,0.1135995173197047,333.0,1.0,79.0,5.0,22.0
2048,full,none,tsra_ablation_full,2.0,0.5,0.125,0.09104938271604938,9.5,3.0,0.177608024691358,333.0,15.0,64.0,5.0,21.0
2048,no_priority_reroute,priority_reroute,tsra_ablation_no_priority_reroute,2.0,0.5,0.125,0.46153846153846156,9.5,3.0,0.33208333333333334,351.0,5.0,73.0,5.0,17.0
2048,no_video_throttle,video_throttle,tsra_ablation_no_video_throttle,2.0,0.5,0.125,0.0701058201058201,9.5,3.0,0.1671362433862434,348.0,11.0,74.0,5.0,17.0
